date,temp
41944.0,18.5
41945.0,17.4
41946.0,15.3
41947.0,10.9
41948.0,9.5
41949.0,8.2
41950.0,9.8
41951.0,12.9
41952.0,12.8
41953.0,12.6
41954.0,12.9
41955.0,12.2
41956.0,13.3
41957.0,12.4
41958.0,11
41959.0,9.2
41960.0,12.3
41961.0,8.3
41962.0,9.1
41963.0,8
41964.0,9
41965.0,11.8
41966.0,13.5
41967.0,11.3
41968.0,9.1
41969.0,6.4
41970.0,8.8
41971.0,9.5
41972.0,4.9
41973.0,3.1
41974.0,2.4
41975.0,1.4
41976.0,1
41977.0,1.5
41978.0,5.3
41979.0,9.1
41980.0,6.7
41981.0,4.9
41982.0,4.9
41983.0,9.9
41984.0,7.7
41985.0,9.4
41986.0,6.8
41987.0,4.8
41988.0,7.9
41989.0,7.8
41990.0,10.6
41991.0,12.5
41992.0,12.4
41993.0,9.1
41994.0,10.3
41995.0,12.8
41996.0,12.8
41997.0,10
41998.0,7.9
41999.0,5.2
42000.0,2.9
42001.0,3.4
42002.0,5.6
42003.0,6.5
42004.0,7.6
42005.0,4.7
42006.0,10.1
42007.0,5.9
42008.0,8
42009.0,3.8
42010.0,5.8
42011.0,7.2
42012.0,8.2
42013.0,13.7
42014.0,13.3
42015.0,8.2
42016.0,10.2
42017.0,11
42018.0,6
42019.0,10.3
42020.0,8.3
42021.0,5.9
42022.0,3.3
42023.0,1.6
42024.0,3.7
42025.0,1.5
42026.0,0.4
42027.0,-1.3
42028.0,6.8
42029.0,5.6
42030.0,8.3
42031.0,7.7
42032.0,7.2
42033.0,4.5
42034.0,4.4
42035.0,4.4
42036.0,5.7
42037.0,5.5
42038.0,6.3
42039.0,5.3
42040.0,2
42041.0,3.1
42042.0,5.5
42043.0,6.7
42044.0,7.2
42045.0,7.2
42046.0,5.4
42047.0,4.5
42048.0,9.9
42049.0,10.2
42050.0,6.7
42051.0,7.7
42052.0,9
42053.0,8.1
42054.0,7.4
42055.0,6.5
42056.0,6.3
42057.0,6.8
42058.0,9.8
42059.0,8.9
42060.0,8.7
42061.0,8.3
42062.0,8.2
42063.0,9.1
42064.0,10.7
42065.0,8.4
42066.0,7.5
42067.0,7.6
42068.0,10.3
42069.0,9
42070.0,13.9
42071.0,15.7
42072.0,11.3
42073.0,11.3
42074.0,9.5
42075.0,12.7
42076.0,9.2
42077.0,5.3
42078.0,6.8
42079.0,12.8
42080.0,17.8
42081.0,8.8
42082.0,12.6
42083.0,9.3
42084.0,9.3
42085.0,8.6
42086.0,9.3
42087.0,11.5
42088.0,6.9
42089.0,7.3
42090.0,8.9
42091.0,11.7
42092.0,11.3
42093.0,9.1
42094.0,11.1
42095.0,9.1
42096.0,8.6
42097.0,9.5
42098.0,9.4
42099.0,11.3
42100.0,11.7
42101.0,13.2
42102.0,14.2
42103.0,18.1
42104.0,19.6
42105.0,13.6
42106.0,15.5
42107.0,12.8
42108.0,20
42109.0,23
42110.0,13.4
42111.0,12.9
42112.0,14.4
42113.0,15.2
42114.0,17.1
42115.0,17.4
